name,vmag,ra_deg,dec_deg,bv_color
HIP 114341, 3.68,347.36150879,-21.17248555, 1.202
HIP 22549, 3.68,72.80152507,5.60510146,-0.157
HIP 97365, 3.68,296.84693842,18.53425912, 1.313
HIP 47854, 3.69,146.31178147,-62.50792328, 1.010
HIP 9007, 3.69,28.98680207,-51.60958673, 0.844
HIP 106985, 3.69,325.02225935,-16.66225343, 0.320
HIP 23453, 3.69,75.61950025,41.07588953, 1.154
HIP 57399, 3.69,176.51305887,47.77933701, 1.181
HIP 2920, 3.69,9.24277921,53.89693161,-0.196
HIP 15474, 3.70,49.87904033,-21.7579421, 1.614
HIP 114971, 3.70,349.28955677,3.28224524, 0.916
HIP 87933, 3.70,269.44096106,29.24792527, 0.935
HIP 38414, 3.71,118.05435622,-40.57579889, 1.012
HIP 28103, 3.71,89.10132627,-14.16803805, 0.337
HIP 22797, 3.71,73.5628985,2.44067149,-0.179
HIP 77622, 3.71,237.70371344,4.4775798, 0.147
HIP 98036, 3.71,298.82819233,6.40793334, 0.855
HIP 88771, 3.71,271.8375861,9.56365345, 0.159
HIP 16537, 3.72,53.23509009,-9.45830584, 0.881
HIP 17499, 3.72,56.21884811,24.1134484,-0.105
HIP 104060, 3.72,316.23273251,43.92785122, 1.609
HIP 28358, 3.72,89.88145972,54.28498197, 1.010
HIP 107089, 3.73,325.36863801,-77.38946215, 1.008
HIP 112961, 3.73,343.15360192,-7.57967878, 1.626
HIP 72220, 3.73,221.56246594,1.8929383,-0.005
HIP 16083, 3.73,51.79217049,9.7327724,-0.082
HIP 87585, 3.73,268.38178961,56.87245216, 1.177
HIP 8645, 3.74,27.86504416,-10.33494526, 1.136
HIP 80170, 3.74,245.48018203,19.15302185, 0.299
HIP 104887, 3.74,318.69727757,38.04432043, 0.393
HIP 44511, 3.75,136.03883562,-47.09771376, 1.174
HIP 87108, 3.75,266.97322515,2.70745875, 0.043
HIP 26069, 3.76,83.40631813,-62.48985585, 0.640
HIP 93683, 3.76,286.17055765,-21.74135451, 1.012
HIP 27654, 3.76,87.82980343,-20.87751376, 0.984
HIP 30867, 3.76,97.20447548,-7.03305042,-0.113
HIP 111169, 3.76,337.82239898,50.28244976, 0.031
HIP 95853, 3.76,292.42641389,51.72946747, 0.148
HIP 41312, 3.77,126.43435936,-66.13652042, 1.132
HIP 82363, 3.77,252.44629764,-59.04131648, 1.562
HIP 42570, 3.77,130.15656369,-46.64875492, 0.670
HIP 105881, 3.77,321.66678212,-22.41137838, 1.002
HIP 26549, 3.77,84.68652211,-2.60006791,-0.19
HIP 101958, 3.77,309.90939395,15.9120527,-0.057
HIP 20455, 3.77,65.73344722,17.5425843, 0.983
HIP 109176, 3.77,331.75197729,25.3450461, 0.435
HIP 17529, 3.77,56.29851422,42.57854437, 0.425
HIP 13268, 3.77,42.67413655,55.89552955, 1.690
HIP 34481, 3.78,107.18676883,-70.49919435, 1.006
HIP 53253, 3.78,163.3731926,-58.85326474, 0.945
HIP 102618, 3.78,311.91888574,-9.49568988, 0.000
HIP 71795, 3.78,220.28716819,13.72833113, 0.044
HIP 36046, 3.78,111.43198371,27.79828561, 1.024
HIP 48319, 3.78,147.74871542,59.03910437, 0.291
HIP 55203, 3.79,,, 0.606
HIP 53229, 3.79,163.32766612,34.21556641, 1.040
HIP 14668, 3.79,47.37345463,44.85788896, 0.980
HIP 14879, 3.80,48.01783332,-28.98910623, 0.543
HIP 37229, 3.80,114.70783872,-26.8038924,-0.159
HIP 76276, 3.80,233.7007926,10.53885916, 0.268
HIP 99675, 3.80,303.40792782,46.74132417, 1.270
HIP 94779, 3.80,289.27545794,53.36816064, 0.950
HIP 51232, 3.81,156.96977108,-58.73940856, 0.317
HIP 21393, 3.81,68.88779874,-30.56231049, 0.957
HIP 76952, 3.81,235.68599269,26.29551419, 0.020
HIP 116584, 3.81,354.3904487,46.45917621, 0.984
HIP 80883, 3.82,247.72850509,1.98410056, 0.022
HIP 9487, 3.82,30.51166929,2.76376048, 0.024
HIP 45688, 3.82,139.71111394,36.80289763, 0.066
HIP 86414, 3.82,264.86621847,46.00632216,-0.179
HIP 56211, 3.82,172.85120199,69.33112161, 1.613
HIP 72370, 3.83,221.96552567,-79.04471242, 1.433
HIP 68245, 3.83,209.56785278,-42.10070526,-0.224
HIP 51069, 3.83,156.52293768,-16.83609584, 1.456
HIP 61199, 3.84,188.11712896,-72.1329759,-0.157
HIP 17440, 3.84,56.04814541,-64.80709398, 1.133
HIP 43783, 3.84,133.76192355,-60.64471195,-0.104
HIP 51986, 3.84,159.32606984,-48.22561631, 0.300
HIP 89341, 3.84,273.44086963,-21.05883031, 0.195
HIP 51624, 3.84,158.20281305,9.30659431,-0.148
HIP 20885, 3.84,67.14346805,15.96221721, 0.952
HIP 88794, 3.84,271.88562824,28.76247025,-0.018
HIP 17448, 3.84,56.07969347,32.28827325, 0.022
HIP 97433, 3.84,297.04255658,70.26783533, 0.888
HIP 27321, 3.85,86.82118054,-51.06671329, 0.171
HIP 61622, 3.85,189.42636588,-48.54128816, 0.049
HIP 19747, 3.85,63.5003388,-42.29387294, 1.085
HIP 50191, 3.85,153.68447399,-42.12206281, 0.051
HIP 30277, 3.85,95.52852147,-33.43627251, 0.858
HIP 91117, 3.85,278.80182442,-8.24330819, 1.317
HIP 78072, 3.85,239.11247598,15.66473327, 0.478
HIP 90139, 3.85,275.92402821,21.77034249, 1.168
HIP 61281, 3.85,188.37101041,69.78820992,-0.116
HIP 81065, 3.86,248.36443409,-78.89695917, 0.923
HIP 79664, 3.86,243.85944228,-63.68564897, 1.105
HIP 25859, 3.86,82.8030645,-35.47043592, 1.130
HIP 21594, 3.86,69.54529558,-14.303587, 1.082
HIP 110395, 3.86,335.41374983,-1.38735315,-0.057
HIP 87808, 3.86,269.06324389,37.25052158, 1.350
HIP 4436, 3.86,14.18790699,38.49925513, 0.130
HIP 43023, 3.87,131.50689464,-46.0415392, 0.015
HIP 68282, 3.87,209.6698807,-44.8035314,-0.208
HIP 78104, 3.87,239.22119438,-29.21401221,-0.199
HIP 71957, 3.87,220.76484284,-5.6574291, 0.385
HIP 97804, 3.87,298.11818257,1.00567827, 0.630
HIP 17573, 3.87,56.45663804,24.36785796,-0.063
HIP 74376, 3.88,227.98400434,-48.73770212,-0.029
HIP 765, 3.88,2.35224949,-45.74698836, 1.013
HIP 114421, 3.88,347.58928308,-45.24664747, 0.998
HIP 8832, 3.88,28.38235506,19.29409264,-0.047
HIP 48455, 3.88,148.19149028,26.00708498, 1.222
HIP 33152, 3.89,103.53314518,-24.18422296, 1.740
HIP 13701, 3.89,44.10668245,-8.89760976, 1.088
HIP 60129, 3.89,184.97663096,-0.66674709, 0.026
HIP 45336, 3.89,138.59080529,2.31502422,-0.06
HIP 98110, 3.89,299.07665069,35.08349079, 1.019
HIP 55425, 3.90,170.25184266,-54.49101395,-0.157
HIP 65936, 3.90,202.76111861,-39.40727983, 1.186
HIP 47431, 3.90,144.96389156,-1.14265722, 1.313
HIP 60823, 3.91,187.01004828,-50.2306048,-0.192
HIP 73807, 3.91,226.27960699,-47.05119386,-0.144
