name,ra,dec,e_bv
IC 4756,279.75,5.45,0.192
Collinder 359,270.275,2.9,0.193
Bochum 5,112.75,-16.9333,0.194
Trumpler 21,203.0583,-62.8,0.197
NGC 2169,92.1,13.965,0.199
Ferrero 11,93.6375,0.6417,0.2
ASCC 85,251.8792,-45.46,0.2
Melotte 72,114.6,-10.6833,0.2
Loden 1010,206.2,-60.2833,0.2
NGC 2168,92.225,24.3333,0.2
Loden 807,201.1667,-62.4833,0.2
NGC 6828,297.5708,7.9033,0.2
Loden 1225,212.2625,-59.7167,0.2
NGC 1663,72.2417,13.1483,0.2
Ruprecht 172,302.9,35.605,0.2
NGC 6639,277.7458,-13.155,0.2
NGC 6253,254.7708,-52.7083,0.2
NGC 2266,100.8292,26.97,0.2
Barkhatova 1,313.425,46.0333,0.2
ESO 099 06,232.45,-64.8633,0.2
Loden 682,191.8208,-60.65,0.2
Loden 565,182.0792,-60.65,0.2
Ruprecht 151,115.325,-16.25,0.2
BH 221,259.6625,-32.3167,0.2
Roslund 7,313.0333,37.8956,0.2
BH 92,154.7792,-56.4167,0.2
ASCC 13,78.3292,44.58,0.2
Stock 20,6.3125,62.6167,0.2
ESO 175 06,214.6333,-56.9183,0.2
Ruprecht 123,260.8583,-37.9,0.2
ESO 139 13,264.4208,-58.13,0.2
ESO 332 08,253.6792,-40.7083,0.2
NGC 2323,105.675,-8.3833,0.2
Collinder 316,253.875,-40.8333,0.2
Loden 1171,209.85,-58.3833,0.2
Alessi 43,132.5708,-41.72,0.2
ASCC 94,273.9,-14.99,0.2
Haffner 22,123.1125,-27.9,0.2
BH 56,134.2833,-43.25,0.2
NGC 3766,174.0583,-61.6083,0.2
NGC 7686,352.5292,49.1333,0.2
ASCC 107,297.1333,21.96,0.2
Ruprecht 153,120.0792,-30.2833,0.206
Ruprecht 19,111.4625,-21.5833,0.208
ESO 502 19,167.0292,-26.73,0.208
Ruprecht 57,123.7708,-26.9667,0.208
FSR 1202,106.8583,-12.7983,0.208
Ruprecht 22,112.325,-29.1833,0.208
ESO 430 09,120.6,-29.7767,0.208
Latham 1,197.7083,30.4767,0.208
FSR 1294,117.7792,-22.1306,0.208
Loden 991,206.35,-62.0167,0.21
Stock 14,175.95,-62.5167,0.21
NGC 6208,252.3667,-53.7283,0.21
Ivanov 4,105.1333,-8.8667,0.21
Ruprecht 85,150.3583,-55.1167,0.21
Collinder 185,125.8375,-36.3333,0.21
NGC 2425,114.5708,-14.8783,0.21
Trumpler 11,151.225,-61.6,0.21
NGC 6940,308.6083,28.2833,0.214
Stock 13,168.2708,-58.8833,0.218
NGC 6178,248.9458,-45.6433,0.219
Teutsch 126,333.4417,55.72,0.22
NGC 7243,333.7833,49.8983,0.22
Dolidze 36,300.625,42.1,0.22
Alessi 10,301.1917,-10.4783,0.22
ESO 521 38,272.3542,-24.53,0.22
Lynga 12,251.5167,-50.7639,0.22
Alessi 20,2.6417,58.76,0.22
NGC 1960,84.075,34.14,0.22
NGC 2355,109.2458,13.75,0.22
Trumpler 30,269.1917,-35.2667,0.22
NGC 6716,283.6417,-19.9017,0.22
Lynga 2,216.1458,-61.3306,0.22
Collinder 220,156.4667,-57.9267,0.221
NGC 5281,206.6458,-62.9167,0.225
Hogg 14,187.15,-59.8167,0.229
Ruprecht 97,179.3667,-62.7167,0.229
Harvard 20,298.275,18.3333,0.229
NGC 2432,115.2208,-19.0767,0.23
BH 85,150.4667,-49.5667,0.23
NGC 2165,92.7667,51.6767,0.23
C1331 622,203.55,-62.4172,0.23
SAI 109,145.8917,-50.7925,0.23
Berkeley 15,75.5208,44.5,0.23
NGC 4230,184.3333,-55.1017,0.23
NGC 2302,102.9792,-7.0833,0.23
ASCC 61,161.5333,-56.86,0.23
NGC 2609,127.3833,-61.11,0.23
NGC 4337,186.0167,-58.1233,0.23
Collinder 115,101.625,1.7667,0.23
NGC 2013,86.0042,55.7933,0.23
IC 2488,141.9083,-57,0.231
Collinder 394,283.0667,-20.2033,0.235
NGC 7082,322.3208,47.1267,0.237
NGC 1245,48.675,47.2367,0.24
Czernik 30,112.825,-9.9667,0.24
ASCC 62,162.7208,-60.1,0.24
Loden 694,193.2542,-60.7667,0.24
Ruprecht 75,140.4792,-56.3167,0.24
Loden 306,166.5333,-61.1,0.24
Bochum 3,105.85,-5.05,0.24
Loden 481,177.9458,-61.2833,0.24
NGC 7296,337.0042,52.3228,0.24
Bochum 12,164.35,-61.7167,0.24
Trumpler 9,118.9167,-25.8833,0.248
Ruprecht 147,289.175,-16.2833,0.25
Ruprecht 96,177.6542,-62.1333,0.25
vdBergh 92,105.975,-11.5333,0.25
NGC 6840,298.825,12.1267,0.25
ASCC 5,14.4917,55.84,0.25
Ruprecht 40,113.3667,-20.5167,0.25
Alessi 31,267.675,-12.0017,0.25
NGC 2324,106.0292,1.045,0.25
Collinder 223,158.0667,-60.02,0.25
Hogg 13,169.075,-60.2667,0.25
Loden 309,167.6792,-60.3833,0.25
NGC 2141,90.7292,10.4467,0.25
FSR 0940,93.5667,14.805,0.25
ASCC 71,185.175,-67.52,0.25
Antalova 1,262.225,-31.55,0.25
NGC 3255,156.6292,-60.6767,0.25
NGC 6837,298.2833,11.6983,0.25
Collinder 338,264.5875,-37.7167,0.25
NGC 1912,82.1667,35.8483,0.25
NGC 6568,273.1833,-21.605,0.25
Carraro 1,159.25,-58.7333,0.25
Loden 165,158.9833,-58.7367,0.25
BH 111,167.2833,-63.8333,0.25
ESO 559 13,112.175,-20.825,0.25
NGC 6416,266.0792,-32.3617,0.251
NGC 1664,72.775,43.675,0.254
Collinder 463,26.4375,71.81,0.259
Ruprecht 49,120.8125,-26.7667,0.259
Koposov 63,92.5083,24.5606,0.26
Czernik 12,39.8,54.9167,0.26
ASCC 114,325.0042,53.97,0.26
NGC 1528,63.8458,51.215,0.26
ASCC 87,255.75,-28.45,0.26
Stock 23,49.0458,60.1156,0.26
Ruprecht 13,106.9625,-25.8697,0.26
Czernik 24,88.8542,20.8864,0.26
Czernik 6,30.5,62.8333,0.26
NGC 2215,95.2042,-7.2833,0.26
NGC 5138,201.8167,-59.0333,0.262
NGC 3293,158.9625,-58.23,0.263
Trumpler 7,111.8417,-23.95,0.266
NGC 5316,208.4875,-61.8683,0.267
NGC 2186,93.0333,5.4536,0.27
Collinder 65,81.525,16.7003,0.27
Alessi 15,100.7667,1.6719,0.27
SAI 4,5.9167,62.7039,0.27
NGC 2126,90.6208,49.9178,0.27
Ruprecht 43,119.6917,-28.8111,0.27
ASCC 76,208.0667,-66.4,0.27
Alessi 16,100.8958,2.1733,0.27
Collinder 261,189.4875,-68.3667,0.27
ESO 371 25,133.25,-35.4767,0.27
Czernik 18,67,30.9333,0.27
BH 118,170.7625,-58.55,0.27
Collinder 269,200.8792,-66.1833,0.27
Pismis 12,140,-45.1167,0.27
ESO 432 03,130.7208,-27.8733,0.271
Ruprecht 150,106.4792,-28.4167,0.271
Ruprecht 159,140.075,-60.4,0.271
FSR 0334,326.5417,55.4489,0.271
NGC 225,10.9125,61.775,0.274
ASCC 15,80.6542,36.55,0.28
ASCC 93,272.0542,-22.26,0.28
IC 1311,302.575,41.2167,0.28
NGC 2580,125.3667,-30.3,0.28
Ruprecht 47,120.5792,-31.0667,0.28
Juchert 19,60.5833,52.4442,0.28
NGC 7789,359.35,56.7083,0.28
Loden 153,158.675,-58.1333,0.28
NGC 6531,271.0542,-22.49,0.281
Loden 2313,235.2042,-52.4333,0.281
Collinder 271,202.475,-64.2,0.287
Ruprecht 82,146.4417,-54,0.29
Ruprecht 48,120.6792,-32.0506,0.29
NGC 3960,177.6375,-55.6733,0.29
NGC 6839,298.6375,17.9383,0.29
FSR 1025,102.625,6.6039,0.291
Ruprecht 17,110.9,-23.1833,0.291
NGC 4103,181.6667,-61.25,0.294
NGC 6383,263.7,-32.5667,0.298
Ruprecht 4,102.225,-10.5333,0.3
ASCC 121,337.6792,54.9,0.3
NGC 1708,75.8625,52.8333,0.3
NGC 6843,299.025,12.1633,0.3
ASCC 77,212.7,-62.33,0.3
ASCC 75,206.7917,-62.42,0.3
Kharchenko 1,92.2,24.3317,0.3
Trumpler 13,155.95,-60.1333,0.3
ESO 524 01,284.1542,-26.9608,0.3
FSR 0547,22.4667,60.7164,0.3
NGC 6152,248.1875,-52.6433,0.3
ASCC 111,302.8042,37.45,0.3
Loden 995,207.9833,-64.875,0.3
Dolidze 20,81.9542,33.7933,0.3
ASCC 6,26.8042,57.73,0.3
ASCC 4,13.2917,61.58,0.3
NGC 2588,125.7917,-32.975,0.3
Ruprecht 61,126.3208,-34.15,0.3
ASCC 90,264.7792,-34.8,0.3
