番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
162,QC,大分,33゜16',131゜41',130.0,16.1,-113.9,58.21,243.64,24.15,272.14,25.70,206.88,19.41,185.32,-,
163,X5,佐伯,32゜57',131゜58',105.0,14.4,-90.6,44.20,202.76,19.18,226.69,23.01,198.42,17.82,177.74,2019年,
164,Z6,細島,32゜26',131゜40',106.0,17.0,-89.0,51.58,175.86,22.27,199.92,20.92,189.15,16.23,169.28,-,
165,MG,宮崎,31゜54',131゜27',113.0,-,-,52.13,172.09,22.97,197.48,22.02,186.46,16.73,167.47,-,
166,AB,油津,31゜35',131゜25',116.0,19.4,-96.6,52.21,173.96,22.92,198.53,22.68,191.06,17.62,170.18,2019年,
167,X6,志布志,31゜29',131゜07',116.0,-,-,55.77,176.55,24.42,201.25,22.48,191.59,17.54,171.26,-,
168,QG,大泊,31゜01',130゜41',142.0,18.1,-123.9,68.54,192.61,29.94,218.10,25.12,195.04,19.62,174.93,-,
169,KG,鹿児島,31゜36',130゜34',155.0,26.3,-128.7,76.87,204.61,33.82,230.55,25.22,201.15,19.65,180.82,2019年,
170,MK,枕崎,31゜16',130゜18',150.0,23.3,-126.7,69.48,204.30,30.48,230.10,24.62,199.81,19.17,179.67,2019年,
171,ZJ,阿久根,32゜01',130゜11',160.0,25.3,-134.7,78.04,220.83,34.59,247.03,25.51,205.72,19.94,185.92,-,
172,QH,西之表,30゜44',131゜00',120.0,7.1,-112.9,58.50,194.54,25.64,219.87,22.99,199.02,17.98,179.35,-,
173,TJ,種子島,30゜28',130゜58',120.0,3.7,-116.3,55.11,177.02,23.94,203.31,21.66,190.09,16.47,171.65,2019年,
174,QI,中之島,29゜51',129゜51',125.0,6.8,-118.2,58.41,195.74,25.34,221.11,23.35,198.40,18.01,178.62,-,
175,QJ,名瀬,28゜24',129゜30',115.0,6.6,-108.4,55.89,196.86,24.39,222.81,20.05,203.89,15.27,185.65,-,
176,O9,奄美,28゜19',129゜32',119.0,5.9,-113.1,55.68,182.72,23.25,207.75,22.25,195.65,16.87,174.66,2019年,
177,NK,中城湾港,26゜20',127゜50',120.0,-,-,56.63,185.10,23.57,209.42,21.75,202.49,16.31,183.18,-,
178,ZO,沖縄,26゜11',127゜49',120.0,3.8,-116.2,55.90,185.04,23.29,209.30,21.68,202.51,16.28,183.21,-,
179,NH,那覇,26゜13',127゜40',118.0,4.5,-113.5,57.39,197.93,24.26,222.39,20.79,210.17,15.91,190.85,2019年,
180,DJ,南大東,25゜52',131゜14',98.0,24.6,-73.4,52.17,188.23,22.11,213.79,19.01,200.66,14.68,182.68,2019年,
181,R1,平良,24゜49',125゜17',103.0,-,-,48.43,198.51,20.88,220.75,18.61,216.40,15.67,199.00,-,
182,IS,石垣,24゜20',124゜10',107.0,12.0,-95.0,44.41,193.52,19.48,216.47,19.82,221.37,16.93,199.08,2019年,
183,IJ,西表,24゜21',123゜45',103.0,-,-,50.20,204.60,14.60,219.00,19.10,217.20,18.70,200.20,-,
184,YJ,与那国,24゜27',122゜57',100.0,2.6,-97.4,44.65,192.47,19.15,215.01,20.14,219.65,16.70,196.65,2019年,
185,O7,水俣,32゜12',130゜22',195.0,-,-,100.59,247.55,43.78,280.72,26.69,217.26,20.91,197.37,-,
186,O5,八代,32゜31',130゜34',215.0,-,-,111.52,249.58,48.96,283.42,27.08,218.27,21.09,198.20,-,
187,HS,本渡瀬戸,32゜26',130゜13',205.0,-,-,100.11,246.83,43.58,280.15,26.48,216.34,20.64,196.23,-,
188,RH,苓北,32゜28',130゜02',166.0,21.4,-144.6,82.50,225.03,36.88,251.24,25.50,205.61,19.68,185.94,2019年,
189,MS,三角,32゜37',130゜27',221.0,-,-,118.56,250.33,52.08,284.07,27.31,217.40,21.02,197.42,-,
190,KU,熊本,32゜45',130゜34',245.0,-,-,130.97,253.43,57.87,287.84,28.04,217.59,21.59,197.50,-,
191,O6,大牟田,33゜01',130゜25',265.0,-,-,148.75,255.03,66.12,289.52,28.59,218.06,21.85,198.08,-,
192,OU,大浦,32゜59',130゜13',268.0,25.5,-242.5,149.21,256.28,66.59,291.25,28.74,218.96,22.13,198.92,2019年,
193,KT,口之津,32゜36',130゜12',194.0,23.0,-171.0,98.84,247.99,42.53,280.92,26.66,215.79,20.94,195.90,2019年,
194,NS,長崎,32゜44',129゜52',164.0,24.3,-139.7,80.86,229.00,36.16,254.67,25.66,207.40,19.96,187.34,2019年,
195,KO,皇后,32゜43',129゜50',164.0,-,-,80.72,229.22,36.19,254.86,25.64,207.53,19.97,187.39,-,
196,FE,福江,32゜42',128゜51',159.0,7.8,-151.2,75.73,230.86,34.30,256.44,24.42,206.85,18.95,187.12,2019年,
197,QD,佐世保,33゜09',129゜43',165.0,24.4,-140.6,81.50,240.26,36.75,265.63,24.42,213.89,19.18,194.21,-,
198,X2,平戸瀬戸,33゜22',129゜35',155.0,-,-,76.67,248.53,35.08,273.57,22.31,221.33,17.86,202.41,-,
199,ZL,仮屋,33゜28',129゜51',127.0,22.6,-104.4,63.86,268.46,30.04,292.86,18.15,244.17,15.77,226.28,-,
200,KA,唐津,33゜28',129゜58',118.0,-,-,55.85,272.39,26.54,296.43,15.97,255.18,14.50,237.49,-,
201,QF,博多,33゜37',130゜24',110.0,22.8,-87.2,50.43,278.97,24.05,302.99,14.85,266.34,14.02,247.74,-,
202,X3,郷ノ浦,33゜45',129゜41',127.0,-,-,61.15,264.16,28.89,288.99,15.46,239.31,13.40,223.27,-,
203,QE,厳原,34゜12',129゜18',93.0,7.8,-85.2,50.99,252.83,24.22,278.77,8.35,207.34,6.13,200.05,-,
204,O1,対馬,34゜16',129゜19',88.0,-,-,49.29,252.60,23.40,278.40,7.64,208.11,5.46,204.15,-,
